Date,Open*,High,Low,Close**,Volume,Market Cap
"May 06, 2015",0.42,0.42,0.40,0.40,"26,771.00","3,043,646.00"
"May 05, 2015",0.42,0.43,0.40,0.42,"20,076.00","3,138,368.00"
"May 04, 2015",0.45,0.45,0.42,0.42,"17,354.00","3,105,397.00"
"May 03, 2015",0.44,0.46,0.44,0.45,"12,185.00","3,308,857.00"
"May 02, 2015",0.45,0.45,0.43,0.44,"11,040.00","3,298,899.00"
"May 01, 2015",0.45,0.47,0.44,0.45,"12,105.00","3,311,697.00"
"Apr 30, 2015",0.44,0.47,0.42,0.45,"26,630.00","3,349,097.00"
"Apr 29, 2015",0.44,0.45,0.41,0.44,"26,469.00","3,326,819.00"
"Apr 28, 2015",0.52,0.53,0.41,0.44,"90,014.00","3,265,180.00"
"Apr 27, 2015",0.51,0.53,0.49,0.52,"24,177.00","3,852,065.00"
"Apr 26, 2015",0.52,0.52,0.49,0.51,"18,343.00","3,773,838.00"
"Apr 25, 2015",0.53,0.54,0.47,0.52,"71,013.00","3,822,716.00"
"Apr 24, 2015",0.55,0.56,0.52,0.52,"17,465.00","3,873,474.00"
"Apr 23, 2015",0.54,0.57,0.52,0.56,"42,408.00","4,125,202.00"
"Apr 22, 2015",0.59,0.59,0.54,0.54,"27,899.00","3,927,875.00"
"Apr 21, 2015",0.63,0.63,0.54,0.59,"94,315.00","4,299,454.00"
"Apr 20, 2015",0.61,0.64,0.60,0.63,"25,916.00","4,578,523.00"
"Apr 19, 2015",0.64,0.64,0.61,0.61,"14,181.00","4,456,017.00"
"Apr 18, 2015",0.61,0.67,0.61,0.64,"36,442.00","4,662,522.00"
"Apr 17, 2015",0.63,0.63,0.59,0.61,"25,290.00","4,431,843.00"
"Apr 16, 2015",0.63,0.64,0.61,0.63,"40,245.00","4,593,956.00"
"Apr 15, 2015",0.62,0.65,0.61,0.63,"20,642.00","4,560,890.00"
"Apr 14, 2015",0.66,0.66,0.61,0.62,"35,429.00","4,471,674.00"
"Apr 13, 2015",0.75,0.76,0.64,0.65,"62,379.00","4,683,127.00"
"Apr 12, 2015",0.78,0.78,0.75,0.75,"21,378.00","5,407,609.00"
"Apr 11, 2015",0.76,0.81,0.74,0.78,"42,717.00","5,578,353.00"
"Apr 10, 2015",0.71,0.82,0.68,0.75,"62,913.00","5,354,443.00"
"Apr 09, 2015",0.70,0.72,0.65,0.71,"22,606.00","5,005,808.00"
"Apr 08, 2015",0.76,0.78,0.67,0.70,"30,888.00","4,957,878.00"
"Apr 07, 2015",0.72,0.77,0.66,0.77,"87,210.00","5,402,288.00"
"Apr 06, 2015",0.80,0.83,0.69,0.72,"34,611.00","5,078,335.00"
"Apr 05, 2015",0.78,0.84,0.66,0.80,"130,684.00","5,681,879.00"
"Apr 04, 2015",0.86,0.90,0.65,0.78,"117,508.00","5,512,730.00"
"Apr 03, 2015",0.90,0.94,0.80,0.87,"128,156.00","6,155,560.00"
"Apr 02, 2015",0.93,0.95,0.85,0.89,"82,488.00","6,309,433.00"
"Apr 01, 2015",0.84,0.97,0.84,0.94,"110,990.00","6,557,277.00"
"Mar 31, 2015",0.80,0.95,0.78,0.84,"199,595.00","5,846,336.00"
"Mar 30, 2015",0.66,0.82,0.66,0.79,"99,310.00","5,459,043.00"
"Mar 29, 2015",0.74,0.75,0.64,0.65,"53,834.00","4,544,376.00"
