date,monday,tuesday,wednesday,thursday,friday
2015 Jan- 5 to Jan- 9,51.08,50.12,49.06,49.43,47.64
2015 Jan-12 to Jan-16,46.9,45.13,45.82,47.66,47.38
2015 Jan-19 to Jan-23,,46.49,46.5,46.09,46.69
2015 Jan-26 to Jan-30,46.07,46.55,47.07,46.61,47.52
2015 Feb- 2 to Feb- 6,51.74,54.41,55.07,55.98,55.88
2015 Feb- 9 to Feb-13,57,55.79,53.48,56.23,60.33
2015 Feb-16 to Feb-20,61.57,60.78,60.72,58.78,60.99
2015 Feb-23 to Feb-27,59.78,60.33,59.77,61.39,61.89
2015 Mar- 2 to Mar- 6,60.75,61.18,59.18,60.33,59.15
2015 Mar- 9 to Mar-13,58.67,55.95,56.46,56.66,54.8
2015 Mar-16 to Mar-20,52,52.17,52.59,52.96,53.88
2015 Mar-23 to Mar-27,53.82,53.61,54.18,57.02,56.44
2015 Mar-30 to Apr- 3,53.99,53.69,55.73,55.73,
2015 Apr- 6 to Apr-10,55.73,57.55,56.42,56.04,56.82
2015 Apr-13 to Apr-17,57.14,57.69,59.32,60.13,61.31
2015 Apr-20 to Apr-24,61.2,60.12,60.12,62.66,62.96
2015 Apr-27 to May- 1,62.86,62.61,63.97,63.9,64.13
2015 May- 4 to May- 8,64.62,65.44,66.22,64.93,63.82
2015 May-11 to May-15,62.82,65.09,66.33,65.58,64.69
2015 May-18 to May-22,65.15,63.48,63.52,64.7,64.7
2015 May-25 to May-29,,61.65,61.35,60.12,63.16
2015 Jun- 1 to Jun- 5,62.87,63.14,62.78,60.34,60.36
2015 Jun- 8 to Jun-12,61.33,63.23,64.68,63.76,63.19
2015 Jun-15 to Jun-19,60.99,60.75,60.75,61.37,59.41
2015 Jun-22 to Jun-26,60.54,61.67,61.63,60.24,60.14
2015 Jun-29 to Jul- 3,59.03,60.31,61.65,61.73,59.06
2015 Jul- 6 to Jul-10,57.19,54.72,55.7,57.83,57.72
2015 Jul-13 to Jul-17,57.63,57.2,57.34,57.31,56.38
2015 Jul-20 to Jul-24,56.42,55.94,56.36,55.76,54.29
2015 Jul-27 to Jul-31,54.07,54.3,54.73,54.29,53.29
2015 Aug- 3 to Aug- 7,49.49,49.08,49.04,47.8,47.54
2015 Aug-10 to Aug-14,48.3,47.33,48.29,48.01,47.79
2015 Aug-17 to Aug-21,47.77,47,45.75,45.63,43.84
2015 Aug-24 to Aug-28,41.59,41.86,41.76,44.46,47.97
2015 Aug-31 to Sep- 4,,48.8,47.67,50.41,48.59
2015 Sep- 7 to Sep-11,46.42,48.88,48.04,47.77,46.87
2015 Sep-14 to Sep-18,45.87,45.91,49.35,48.27,47.28
2015 Sep-21 to Sep-25,47.64,46.69,48,47.06,47.28
2015 Sep-28 to Oct- 2,46.04,47.58,47.29,47.48,46.55
2015 Oct- 5 to Oct- 9,49.45,51.34,51.66,52.13,52.08
2015 Oct-12 to Oct-16,50.95,48.94,48.25,47.87,48.96
2015 Oct-19 to Oct-23,47.51,46.93,46.72,46.59,46.3
2015 Oct-26 to Oct-30,46.57,45.54,47.6,48.04,48
2015 Nov- 2 to Nov- 6,47.91,48,46.96,47.19,46.09
2015 Nov- 9 to Nov-13,45.38,46.44,44.98,44.98,41.98
2015 Nov-16 to Nov-20,40.28,41.28,41.45,42.22,42.49
2015 Nov-23 to Nov-27,43.7,44.38,43.56,43.55,43.07
2015 Nov-30 to Dec- 4,43.73,42.97,41.92,42,41.44
2015 Dec- 7 to Dec-11,39.69,39.44,39.04,38.65,36.99
2015 Dec-14 to Dec-18,36.51,37.66,36.96,36.29,36.76
2015 Dec-21 to Dec-25,35.34,35.26,35.79,37.22,
2015 Dec-28 to Jan- 1,37.08,36.85,35.65,36.61,
2016 Jan- 4 to Jan- 8,36.28,35.56,33.89,33.57,31.67
2016 Jan-11 to Jan-15,30.14,29.14,28.58,28.84,28.8
2016 Jan-18 to Jan-22,27.36,27.36,26.01,27.59,30.46
2016 Jan-25 to Jan-29,29.82,30.94,31.83,33.01,33.14
2016 Feb- 1 to Feb- 5,32.45,30.98,32.38,32.76,32.35
2016 Feb- 8 to Feb-12,31.64,30.15,29.64,28.82,31.8
2016 Feb-15 to Feb-19,,31.09,33.21,33.2,31.66
2016 Feb-22 to Feb-26,33.59,31.9,31.5,32.83,35.76
2016 Feb-29 to Mar- 4,35.92,35.73,36.38,35.75,37.61
2016 Mar- 7 to Mar-11,39.02,39.16,40.26,38.63,39.41
2016 Mar-14 to Mar-18,38.06,37.49,38.38,39.29,39.26
2016 Mar-21 to Mar-25,39.91,40.54,38.84,38.33,
2016 Mar-28 to Apr- 1,38.33,36.75,36.75,36.75,36.42
2016 Apr- 4 to Apr- 8,36.05,35.88,37.77,37.15,40.71
2016 Apr-11 to Apr-15,41.58,43.02,42.81,43.02,41.32
2016 Apr-18 to Apr-22,41.64,43.02,43.09,43.48,43.97
2016 Apr-25 to Apr-29,42.97,43.94,44.17,45.6,45.64
2016 May- 2 to May- 6,45.82,43.09,43.08,44.39,44.6
2016 May- 9 to May-13,42.43,44.01,46.08,46.43,47.05
2016 May-16 to May-20,48.49,48.71,48.93,47.01,48.54
2016 May-23 to May-27,47.77,48.42,48.87,49.52,49.09
2016 May-30 to Jun- 3,,49.26,48.81,49.05,48.5
2016 Jun- 6 to Jun-10,48.94,49.76,50.73,50.59,49.7
2016 Jun-13 to Jun-17,49.36,47.88,47.47,45.66,46.57
2016 Jun-20 to Jun-24,48.68,48.18,48.43,48.63,46.69
2016 Jun-27 to Jul- 1,45.07,46.29,48.4,48.05,47.65
2016 Jul- 4 to Jul- 8,48.02,45.64,45.7,45.93,44.53
2016 Jul-11 to Jul-15,44.04,46.72,44.67,46.01,46.25
