Date,Open,High,Low,Close,Volume
"Tuesday, June 22, 2021",107.27,107.27,107.27,107.27,--
"Monday, June 21, 2021",106.77,106.77,106.77,106.77,--
"Friday, June 18, 2021",106.69,106.69,106.69,106.69,--
"Thursday, June 17, 2021",106.88,106.88,106.88,106.88,--
"Wednesday, June 16, 2021",106.69,106.69,106.69,106.69,--
"Tuesday, June 15, 2021",107.58,107.58,107.58,107.58,--
"Monday, June 14, 2021",107.38,107.38,107.38,107.38,--
"Friday, June 11, 2021",107.41,107.41,107.41,107.41,--
"Thursday, June 10, 2021",107.79,107.79,107.79,107.79,--
"Wednesday, June 09, 2021",107.32,107.32,107.32,107.32,--
"Tuesday, June 08, 2021",107.46,107.46,107.46,107.46,--
"Monday, June 07, 2021",107.51,107.51,107.51,107.51,--
"Friday, June 04, 2021",107.61,107.61,107.61,107.61,--
"Thursday, June 03, 2021",107.35,107.35,107.35,107.35,--
"Wednesday, June 02, 2021",107.65,107.65,107.65,107.65,--
"Tuesday, June 01, 2021",107.64,107.64,107.64,107.64,--
"Monday, May 31, 2021",107.56,107.56,107.56,107.56,--
"Friday, May 28, 2021",107.48,107.48,107.48,107.48,--
"Thursday, May 27, 2021",107.43,107.43,107.43,107.43,--
"Wednesday, May 26, 2021",107.48,107.48,107.48,107.48,--
"Tuesday, May 25, 2021",107.67,107.67,107.67,107.67,--
"Monday, May 24, 2021",107.5,107.5,107.5,107.5,--
"Friday, May 21, 2021",107.26,107.26,107.26,107.26,--
"Thursday, May 20, 2021",107.17,107.17,107.17,107.17,--
"Wednesday, May 19, 2021",107.17,107.17,107.17,107.17,--
"Tuesday, May 18, 2021",107.78,107.78,107.78,107.78,--
"Monday, May 17, 2021",107.85,107.85,107.85,107.85,--
"Friday, May 14, 2021",107.62,107.62,107.62,107.62,--
"Thursday, May 13, 2021",107.45,107.45,107.45,107.45,--
"Wednesday, May 12, 2021",107.5,107.5,107.5,107.5,--
"Tuesday, May 11, 2021",107.59,107.59,107.59,107.59,--
"Monday, May 10, 2021",107.75,107.75,107.75,107.75,--
"Friday, May 07, 2021",107.59,107.59,107.59,107.59,--
"Thursday, May 06, 2021",107.43,107.43,107.43,107.43,--
"Wednesday, May 05, 2021",107.53,107.53,107.53,107.53,--
"Tuesday, May 04, 2021",107.13,107.13,107.13,107.13,--
"Monday, May 03, 2021",106.93,106.93,106.93,106.93,--
"Friday, April 30, 2021",106.64,106.64,106.64,106.64,--
"Thursday, April 29, 2021",106.67,106.67,106.67,106.67,--
"Wednesday, April 28, 2021",106.66,106.66,106.66,106.66,--
"Tuesday, April 27, 2021",106.31,106.31,106.31,106.31,--
"Monday, April 26, 2021",106.29,106.29,106.29,106.29,--
"Friday, April 23, 2021",106.22,106.22,106.22,106.22,--
"Thursday, April 22, 2021",106.22,106.22,106.22,106.22,--
"Wednesday, April 21, 2021",106.19,106.19,106.19,106.19,--
"Tuesday, April 20, 2021",106.17,106.17,106.17,106.17,--
"Monday, April 19, 2021",106.13,106.13,106.13,106.13,--
"Friday, April 16, 2021",106.19,106.19,106.19,106.19,--
"Thursday, April 15, 2021",106.25,106.25,106.25,106.25,--
